frame_id,time_stamp, ,normal, , ,start, , ,end, , ,direction, 
54650,352686763449,0.724989,-0.651547,-0.223333,-82.6862,112.861,8.18433,-82.6862,112.861,8.18433,0,0,0
54650,352686763449,0.724989,-0.651547,-0.223333,-82.6862,112.861,8.18433,-54.4144,137.518,-14.2748,-0.646611,-0.563951,0.513667
54650,352686763449,0.724989,-0.651547,-0.223333,-54.4144,137.518,-14.2748,-35.6119,152.826,-31.7115,-0.629592,-0.512561,0.583863
54650,352686763449,0.724989,-0.651547,-0.223333,-35.6119,152.826,-31.7115,-23.2366,162.01,-45.2294,-0.603694,-0.448002,0.65943
54650,352686763449,0.724989,-0.651547,-0.223333,-97.1919,125.616,0.570784,-67.1994,159.933,-44.9846,-0.465434,-0.532544,0.706943
54650,352686763449,0.724989,-0.651547,-0.223333,-67.1994,159.933,-44.9846,-43.2847,161.545,-73.9947,-0.635505,-0.0428277,0.770908
54650,352686763449,0.724989,-0.651547,-0.223333,-43.2847,161.545,-73.9947,-28.2921,158.488,-88.6264,-0.708169,0.144387,0.691122
54650,352686763449,0.724989,-0.651547,-0.223333,-28.2921,158.488,-88.6264,-17.1184,153.754,-97.384,-0.746638,0.316364,0.585189
54650,352686763449,0.724989,-0.651547,-0.223333,-104.193,122.584,-7.0524,-80.8625,151.303,-55.6877,-0.381781,-0.469942,0.795863
54650,352686763449,0.724989,-0.651547,-0.223333,-80.8625,151.303,-55.6877,-52.4865,150.04,-86.9232,-0.672115,0.0298945,0.739843
54650,352686763449,0.724989,-0.651547,-0.223333,-52.4865,150.04,-86.9232,-33.7444,145.614,-102.72,-0.752465,0.177717,0.634203
54650,352686763449,0.724989,-0.651547,-0.223333,-33.7444,145.614,-102.72,-20.7102,141.013,-111.657,-0.791871,0.27952,0.542963
54650,352686763449,0.724989,-0.651547,-0.223333,-110.108,116.995,-14.093,-94.5443,138.309,-62.1954,-0.283659,-0.388473,0.876713
54650,352686763449,0.724989,-0.651547,-0.223333,-94.5443,138.309,-62.1954,-66.9567,138.455,-89.9525,-0.704932,-0.0037368,0.709265
54650,352686763449,0.724989,-0.651547,-0.223333,-66.9567,138.455,-89.9525,-47.6941,134.899,-104.272,-0.793866,0.146581,0.590161
54650,352686763449,0.724989,-0.651547,-0.223333,-47.6941,134.899,-104.272,-34.1346,131.154,-112.636,-0.828547,0.22883,0.511025
54650,352686763449,0.724989,-0.651547,-0.223333,-112.537,106.235,-19.9007,-104.452,123.159,-67.1003,-0.159186,-0.333213,0.929316
54650,352686763449,0.724989,-0.651547,-0.223333,-104.452,123.159,-67.1003,-80.8922,126.478,-86.9284,-0.760688,-0.107161,0.640211
54650,352686763449,0.724989,-0.651547,-0.223333,-80.8922,126.478,-86.9284,-67.5356,127.91,-97.5606,-0.779644,-0.0836244,0.620615
54650,352686763449,0.724989,-0.651547,-0.223333,-67.5356,127.91,-97.5606,-55.5727,128.922,-106.715,-0.792362,-0.0670171,0.606359
54651,352686777162,0.725095,-0.620292,-0.299123,-77.2439,112.238,6.48193,-77.2439,112.238,6.48193,0,0,0
54651,352686777162,0.725095,-0.620292,-0.299123,-77.2439,112.238,6.48193,-49.9401,139.903,-13.5396,-0.624472,-0.63273,0.457916
54651,352686777162,0.725095,-0.620292,-0.299123,-49.9401,139.903,-13.5396,-32.2082,156.512,-30.906,-0.593745,-0.556161,0.581508
54651,352686777162,0.725095,-0.620292,-0.299123,-32.2082,156.512,-30.906,-20.9846,165.999,-45.1976,-0.547507,-0.462804,0.697171
54651,352686777162,0.725095,-0.620292,-0.299123,-92.2309,125.259,0.4065,-64.5986,163.371,-43.5992,-0.428806,-0.591422,0.682894
54651,352686777162,0.725095,-0.620292,-0.299123,-64.5986,163.371,-43.5992,-39.6227,164.354,-71.7298,-0.663704,-0.0261424,0.747539
54651,352686777162,0.725095,-0.620292,-0.299123,-39.6227,164.354,-71.7298,-24.0855,159.781,-85.3638,-0.733892,0.216046,0.643993
54651,352686777162,0.725095,-0.620292,-0.299123,-24.0855,159.781,-85.3638,-12.8483,153.975,-93.3626,-0.750881,0.387941,0.53449
54651,352686777162,0.725095,-0.620292,-0.299123,-99.4855,122.674,-7.14377,-78.5489,155.311,-54.3766,-0.342605,-0.534067,0.772913
54651,352686777162,0.725095,-0.620292,-0.299123,-78.5489,155.311,-54.3766,-50.1147,155.075,-85.5838,-0.673492,0.00558249,0.739173
54651,352686777162,0.725095,-0.620292,-0.299123,-50.1147,155.075,-85.5838,-30.9076,149.864,-100.561,-0.771133,0.209211,0.601319
54651,352686777162,0.725095,-0.620292,-0.299123,-30.9076,149.864,-100.561,-17.6386,144.339,-108.582,-0.806134,0.33568,0.487305
54651,352686777162,0.725095,-0.620292,-0.299123,-105.593,117.514,-14.3459,-92.2851,142.591,-61.2971,-0.242552,-0.457047,0.855732
54651,352686777162,0.725095,-0.620292,-0.299123,-92.2851,142.591,-61.2971,-64.3012,142.082,-88.6503,-0.71506,0.012993,0.698942
54651,352686777162,0.725095,-0.620292,-0.299123,-64.3012,142.082,-88.6503,-44.6643,137.323,-102.085,-0.809287,0.196164,0.553691
54651,352686777162,0.725095,-0.620292,-0.299123,-44.6643,137.323,-102.085,-30.9063,132.452,-109.489,-0.840681,0.297623,0.452412
54651,352686777162,0.725095,-0.620292,-0.299123,-108.092,107.17,-20.8392,-102.154,127.669,-66.9273,-0.116911,-0.403607,0.907432
54651,352686777162,0.725095,-0.620292,-0.299123,-102.154,127.669,-66.9273,-77.9472,130.541,-86.0323,-0.781591,-0.0927093,0.616863
54651,352686777162,0.725095,-0.620292,-0.299123,-77.9472,130.541,-86.0323,-63.4857,130.46,-95.2168,-0.844136,0.00467962,0.536109
54651,352686777162,0.725095,-0.620292,-0.299123,-63.4857,130.46,-95.2168,-50.303,129.523,-102.516,-0.873154,0.0620779,0.483476
54652,352686789187,0.715427,-0.637999,-0.284819,-73.1291,114.169,5.10487,-73.1291,114.169,5.10487,0,0,0
54652,352686789187,0.715427,-0.637999,-0.284819,-73.1291,114.169,5.10487,-44.3083,141.856,-12.6303,-0.659167,-0.63322,0.405624
54652,352686789187,0.715427,-0.637999,-0.284819,-44.3083,141.856,-12.6303,-25.7152,157.935,-29.5905,-0.62258,-0.538401,0.567907
54652,352686789187,0.715427,-0.637999,-0.284819,-25.7152,157.935,-29.5905,-14.1725,166.62,-44.1354,-0.563077,-0.423688,0.70953
54652,352686789187,0.715427,-0.637999,-0.284819,-87.5489,127.685,-1.25795,-57.5442,165.432,-44.006,-0.465622,-0.58577,0.663378
54652,352686789187,0.715427,-0.637999,-0.284819,-57.5442,165.432,-44.006,-30.8469,164.276,-70.5015,-0.709451,0.0307146,0.704086
54652,352686789187,0.715427,-0.637999,-0.284819,-30.8469,164.276,-70.5015,-14.7874,157.932,-82.7514,-0.758563,0.299639,0.578618
54652,352686789187,0.715427,-0.637999,-0.284819,-14.7874,157.932,-82.7514,-3.52091,150.929,-89.6779,-0.752835,0.467994,0.462841
54652,352686789187,0.715427,-0.637999,-0.284819,-94.6492,125.39,-9.04537,-71.397,157.894,-55.2761,-0.380496,-0.531892,0.756514
54652,352686789187,0.715427,-0.637999,-0.284819,-71.397,157.894,-55.2761,-41.3922,156.047,-84.9196,-0.710696,0.0437669,0.702137
54652,352686789187,0.715427,-0.637999,-0.284819,-41.3922,156.047,-84.9196,-21.538,149.188,-98.3043,-0.797115,0.275381,0.537376
54652,352686789187,0.715427,-0.637999,-0.284819,-21.538,149.188,-98.3043,-8.11155,142.421,-105.004,-0.815699,0.411073,0.407007
54652,352686789187,0.715427,-0.637999,-0.284819,-100.688,120.486,-16.4804,-85.284,145.653,-62.7374,-0.280751,-0.458687,0.84308
54652,352686789187,0.715427,-0.637999,-0.284819,-85.284,145.653,-62.7374,-56.8819,145.032,-89.6538,-0.725744,0.0158619,0.687782
54652,352686789187,0.715427,-0.637999,-0.284819,-56.8819,145.032,-89.6538,-36.9948,139.693,-102.49,-0.819604,0.220029,0.528995
54652,352686789187,0.715427,-0.637999,-0.284819,-36.9948,139.693,-102.49,-23.1429,134.202,-109.257,-0.846411,0.335566,0.413502
54652,352686789187,0.715427,-0.637999,-0.284819,-103.291,110.288,-23.1601,-95.4085,131.085,-68.8211,-0.155202,-0.409473,0.899024
54652,352686789187,0.715427,-0.637999,-0.284819,-95.4085,131.085,-68.8211,-70.2568,132.548,-86.8343,-0.812096,-0.0472431,0.581609
54652,352686789187,0.715427,-0.637999,-0.284819,-70.2568,132.548,-86.8343,-55.1077,130.942,-94.6713,-0.884274,0.0937536,0.457459
54652,352686789187,0.715427,-0.637999,-0.284819,-55.1077,130.942,-94.6713,-41.3704,128.311,-100.355,-0.909887,0.174284,0.376471
54653,352686801118,0.715045,-0.658948,-0.23345,-66.9154,118.613,3.32547,-66.9154,118.613,3.32547,0,0,0
54653,352686801118,0.715045,-0.658948,-0.23345,-66.9154,118.613,3.32547,-37.0242,145.595,-13.7099,-0.68365,-0.617106,0.38962
54653,352686801118,0.715045,-0.658948,-0.23345,-37.0242,145.595,-13.7099,-17.7471,160.443,-31.025,-0.645483,-0.497188,0.579789
54653,352686801118,0.715045,-0.658948,-0.23345,-17.7471,160.443,-31.025,-5.93283,167.741,-46.1041,-0.576324,-0.356032,0.735589
54653,352686801118,0.715045,-0.658948,-0.23345,-80.916,132.036,-4.08267,-48.9571,167.534,-47.3385,-0.495948,-0.550862,0.671257
54653,352686801118,0.715045,-0.658948,-0.23345,-48.9571,167.534,-47.3385,-21.1084,164.214,-72.4287,-0.740046,0.0882245,0.666744
54653,352686801118,0.715045,-0.658948,-0.23345,-21.1084,164.214,-72.4287,-4.70067,156.55,-83.3949,-0.77501,0.362019,0.517979
